name,score,price,url,battery_size,max_dc_charge,miles_per_kwh,range
Volkswagen ID.7 Review,8,51550,https://www.electrifying.com/reviews/volkswagen-reviews/id-7/,81,187,4.1,436
Genesis Electrified GV70 review,8,65105,https://www.electrifying.com/reviews/genesis-reviews/gv70/,77,225,3.2,283
Nio EL6 review,8,57000,https://www.electrifying.com/reviews/audi-reviews/q6-e-tron-1/,100,182,3.3,329
Audi Q6 e-tron prototype 2024 review,9,65000,https://www.electrifying.com/reviews/audi-reviews/q6-e-tron/,100,270,3.8,310
Peugeot E-308 Review,7,38550,https://www.electrifying.com/reviews/peugeot-reviews/e308/,51,100,4.9,248
Zeekr X Review,7,40000,https://www.electrifying.com/reviews/zeekr/x/,62,150,4.4,273
Mazda MX-30 R-EV Review,6,31250,https://www.electrifying.com/reviews/mazda-reviews/mx-30-r-ev/,17,36,3.0,53
Jeep Avenger Review,8,35700,https://www.electrifying.com/reviews/jeep-reviews/avenger/,73,100,4.9,249
Fiat 600e Review,7,32995,https://www.electrifying.com/reviews/fiat-reviews/600e/,51,100,4.9,254
BYD Seal Review,8,45695,https://www.electrifying.com/reviews/byd/seal/,82,150,4.1,354
Mercedes EQE SUV 53 AMG Review,7,133860,https://www.electrifying.com/reviews/mercedes-reviews/eqe-suv-53-amg/,90,151,4.1,278
Smart #1 Review,9,31950,https://www.electrifying.com/reviews/smart/1/,55,140,3.9,273
Skoda Enyaq Coupe 2025 Review,8,46200,https://www.electrifying.com/reviews/skoda-reviews/enyaq-coupe/,77,175,4.0,365
BYD Seal U Review,7,40000,https://www.electrifying.com/reviews/byd/seal-1/,77,127,4.1,311
Honda e:Ny1 Review,7,39995,https://www.electrifying.com/reviews/honda-reviews/e-ny1/,61,78,4.1,256
Hyundai IONIQ 5 N Review,9,65000,https://www.electrifying.com/reviews/hyundai-reviews/ioniq-5-n/,84,233,3.0,278
Volkswagen ID.5 Review,6,45860,https://www.electrifying.com/reviews/volkswagen/id-5/,77,175,3.9,342
MG4 XPower Review,7,36495,https://www.electrifying.com/reviews/mg-reviews/mg4/,73,150,3.8,239
Peugeot E-2008 Review,8,32700,https://www.electrifying.com/reviews/peugeot-reviews/peugeot-e2008-1/,54,100,5.0,249
Rolls Royce Spectre Review,9,350000,https://www.electrifying.com/reviews/rolls-royce/spectre/,102,195,3.2,329
Rivian R1S Review,8,56000,https://www.electrifying.com/reviews/rivian-reviews/r1t/,135,151,4.1,321
Vauxhall Astra Electric Review,7,34130,https://www.electrifying.com/reviews/vauxhall-reviews/astra-electric/,51,100,5.1,258
Volkswagen ID.Buzz LWB 7-Seater Preview,8,60000,https://www.electrifying.com/reviews/volkswagen-reviews/id-buzz/,81,185,4.1,285
Volvo XC40 Recharge 2024 Review,7,46505,https://www.electrifying.com/reviews/volvo-reviews/xc40-recharge/,73,200,3.5,334
BMW i5 eDrive review,8,74105,https://www.electrifying.com/reviews/bmw-reviews/i5/,81,205,4.4,357
BYD Dolphin Review,8,26195,https://www.electrifying.com/reviews/byd/dolphin/,52,88,3.8,265
Lexus RZ450e Review,7,57895,https://www.electrifying.com/reviews/lexus-reviews/rz450e/,64,150,4.2,270
BYD Atto 3 Review,7,36490,https://www.electrifying.com/reviews/byd/atto-3/,60,88,4.1,260
Subaru Solterra Review,6,49995,https://www.electrifying.com/reviews/subaru/solterra/,73,151,4.5,288
Fisker Ocean Review,7,25000,https://www.electrifying.com/reviews/fisker/ocean/,73,151,4.4,440
Citroen e-C4 X Review,8,31610,https://www.electrifying.com/reviews/citroen-reviews/e-c4-x/,52,100,4.4,260
Audi Q8 e-tron Review,8,67800,https://www.electrifying.com/reviews/audi-reviews/q8-e-tron/,97,160,3.2,343
Ford E-Transit Review,8,49545,https://www.electrifying.com/reviews/ford-reviews/e-transit/,68,115,4.1,196
Volkswagen ID.Buzz Cargo Review,8,40450,https://www.electrifying.com/reviews//id-buzz-cargo/,77,170,4.1,254
BMW i7 Review,8,108305,https://www.electrifying.com/reviews/bmw-reviews/i7/,102,195,3.8,387
Nio ET7 Review,7,80000,https://www.electrifying.com/reviews/nio/et7/,100,151,4.1,315
Hyundai IONIQ 6 Review,9,46745,https://www.electrifying.com/reviews/hyundai/ioniq-6/,77,232,4.1,384
BMW iX1 Review,8,46205,https://www.electrifying.com/reviews/bmw/ix1/,64,130,4.0,293
Volta Zero Review,7,57515,https://www.electrifying.com/reviews/volta/zero/,180,150,4.1,125
Volkswagen ID.Buzz Review,9,59035,https://www.electrifying.com/reviews/volkswagen/id-buzz/,77,170,4.1,258
MG4 EV Review,9,26995,https://www.electrifying.com/reviews/mg/4/,73,144,4.4,323
Hummer EV Review,6,130000,https://www.electrifying.com/reviews/hummer/ev/,210,151,4.1,310
MINI Electric Convertible Review,8,52000,https://www.electrifying.com/reviews/mini/convertible-electric/,73,49,5.0,125
Kia Niro PHEV Review,8,33525,https://www.electrifying.com/reviews/kia/niro-phev/,11,151,4.1,40
Renault Master E-Tech Review,4,50915,https://www.electrifying.com/reviews/renault/master-e-tech/,52,151,4.1,124
Renault Kangoo E-Tech Review,8,30555,https://www.electrifying.com/reviews/renault/kangoo-e-tech/,45,80,4.1,186
Kia Niro EV Review,9,37325,https://www.electrifying.com/reviews/kia/niro-ev/,64,72,4.2,285
Genesis Electrified G80 Review,8,65805,https://www.electrifying.com/reviews/genesis/electrified-g80/,87,185,3.7,323
Genesis GV60 Review,7,53905,https://www.electrifying.com/reviews/genesis/gv60/,77,151,3.9,289
Ford F-150 Lightning Review,8,40000,https://www.electrifying.com/reviews/ford/f-150-lightning/,114,151,4.1,310
Rivian R1T Review,8,56000,https://www.electrifying.com/reviews/rivian/r1t/,135,151,4.1,314
Mercedes EQT Review,8,32000,https://www.electrifying.com/reviews/mercedes/eqt/,45,151,4.1,186
BMW i7 Prototype Review,8,107400,https://www.electrifying.com/reviews/bmw/i7/,102,195,3.8,373
Kia EV6 GT Review,9,58295,https://www.electrifying.com/reviews/kia/ev6-gt/,77,232,3.4,263
MG 5 EV 2023 Review,7,30995,https://www.electrifying.com/reviews/mg/5-ev/,61,87,4.0,249
Lotus Eletre Review,9,89500,https://www.electrifying.com/reviews/lotus/eletre/,73,350,3.3,373
Mercedes EQS SUV Review,7,129470,https://www.electrifying.com/reviews/mercedes/eqs_suv/,118,151,4.1,401
SKODA Enyaq iV Coupe vRS Review,9,51885,https://www.electrifying.com/reviews/skoda/enyaq-coupe-vrs/,77,135,3.6,312
Citroen e-Berlingo Van Review,9,30055,https://www.electrifying.com/reviews/citroen/e-berlingo-van/,50,100,4.3,213
Toyota bZ4X Review,7,42860,https://www.electrifying.com/reviews/toyota/bz4x/,64,150,4.0,318
Lucid Air Review,8,100000,https://www.electrifying.com/reviews/lucid/air/,90,350,4.1,403
Mercedes EQE Review,7,69105,https://www.electrifying.com/reviews/mercedes/eqe/,96,151,4.1,431
KGM Korando e-Motion Review,6,32695,https://www.electrifying.com/reviews/kgm/korando-e-motion/,61,151,4.1,210
Pininfarina Battista Review,10,2000000,https://www.electrifying.com/reviews/pininfarina/battista/,120,151,4.1,310
Mercedes EQB Review,8,52800,https://www.electrifying.com/reviews/mercedes/eqb/,68,100,3.9,321
Renault Megane E-Tech Review,8,33995,https://www.electrifying.com/reviews/renault/megane-e-tech/,60,151,4.1,280
Cupra Born Review,9,35504,https://www.electrifying.com/reviews/cupra/born/,68,147,3.4,366
BMW iX Review,8,69905,https://www.electrifying.com/reviews/bmw/ix/,88,200,3.4,380
Citroen ë-SpaceTourer Review,7,31795,https://www.electrifying.com/reviews/citroen/spacetourer/,50,100,3.2,143
Rimac Nevera Review,10,2000000,https://www.electrifying.com/reviews/rimac/nevera/,120,500,2.6,310
BMW i4 Review,10,49995,https://www.electrifying.com/reviews/bmw/i4/,73,190,4.5,367
Hyundai IONIQ 5 Review,9,39990,https://www.electrifying.com/reviews/hyundai/ioniq-5/,67,225,4.1,354
Mercedes EQS Review,8,102160,https://www.electrifying.com/reviews/mercedes/eqs/,107,200,4.4,479
Porsche Taycan Cross Turismo Review,10,81500,https://www.electrifying.com/reviews/porsche/taycan-cross-turismo/,93,270,2.6,241
Mercedes EQA Review,7,49750,https://www.electrifying.com/reviews/mercedes/eqa/,70,100,3.9,346
Ford Mustang Mach-E Review,7,43830,https://www.electrifying.com/reviews/ford/mustang-mach-e/,81,150,3.8,372
Citroen e-C4 Review,8,30569,https://www.electrifying.com/reviews/citroen/e-c4/,52,100,4.8,260
Fiat All-Electric 500 Review,6,24995,https://www.electrifying.com/reviews/fiat/500e/,33,85,4.7,199
